total_packets_a2b_mean,total_packets_a2b_max,total_packets_a2b_min,total_packets_b2a_mean,total_packets_b2a_max,total_packets_b2a_min,ack_pkts_sent_a2b_mean,ack_pkts_sent_a2b_max,ack_pkts_sent_a2b_min,ack_pkts_sent_b2a_mean,ack_pkts_sent_b2a_max,ack_pkts_sent_b2a_min,pure_acks_sent_a2b_mean,pure_acks_sent_a2b_max,pure_acks_sent_a2b_min,pure_acks_sent_b2a_mean,pure_acks_sent_b2a_max,pure_acks_sent_b2a_min,sack_pkts_sent_a2b_mean,sack_pkts_sent_a2b_max,sack_pkts_sent_a2b_min,sack_pkts_sent_b2a_mean,sack_pkts_sent_b2a_max,sack_pkts_sent_b2a_min,dsack_pkts_sent_a2b_mean,dsack_pkts_sent_a2b_max,dsack_pkts_sent_a2b_min,dsack_pkts_sent_b2a_mean,dsack_pkts_sent_b2a_max,dsack_pkts_sent_b2a_min,max_sack_blks/ack_a2b_mean,max_sack_blks/ack_a2b_max,max_sack_blks/ack_a2b_min,max_sack_blks/ack_b2a_mean,max_sack_blks/ack_b2a_max,max_sack_blks/ack_b2a_min,unique_bytes_sent_a2b_mean,unique_bytes_sent_a2b_max,unique_bytes_sent_a2b_min,unique_bytes_sent_b2a_mean,unique_bytes_sent_b2a_max,unique_bytes_sent_b2a_min,actual_data_pkts_a2b_mean,actual_data_pkts_a2b_max,actual_data_pkts_a2b_min,actual_data_pkts_b2a_mean,actual_data_pkts_b2a_max,actual_data_pkts_b2a_min,actual_data_bytes_a2b_mean,actual_data_bytes_a2b_max,actual_data_bytes_a2b_min,actual_data_bytes_b2a_mean,actual_data_bytes_b2a_max,actual_data_bytes_b2a_min,rexmt_data_pkts_a2b_mean,rexmt_data_pkts_a2b_max,rexmt_data_pkts_a2b_min,rexmt_data_pkts_b2a_mean,rexmt_data_pkts_b2a_max,rexmt_data_pkts_b2a_min,rexmt_data_bytes_a2b_mean,rexmt_data_bytes_a2b_max,rexmt_data_bytes_a2b_min,rexmt_data_bytes_b2a_mean,rexmt_data_bytes_b2a_max,rexmt_data_bytes_b2a_min,zwnd_probe_pkts_a2b_mean,zwnd_probe_pkts_a2b_max,zwnd_probe_pkts_a2b_min,zwnd_probe_pkts_b2a_mean,zwnd_probe_pkts_b2a_max,zwnd_probe_pkts_b2a_min,zwnd_probe_bytes_a2b_mean,zwnd_probe_bytes_a2b_max,zwnd_probe_bytes_a2b_min,zwnd_probe_bytes_b2a_mean,zwnd_probe_bytes_b2a_max,zwnd_probe_bytes_b2a_min,outoforder_pkts_a2b_mean,outoforder_pkts_a2b_max,outoforder_pkts_a2b_min,outoforder_pkts_b2a_mean,outoforder_pkts_b2a_max,outoforder_pkts_b2a_min,pushed_data_pkts_a2b_mean,pushed_data_pkts_a2b_max,pushed_data_pkts_a2b_min,pushed_data_pkts_b2a_mean,pushed_data_pkts_b2a_max,pushed_data_pkts_b2a_min,sacks_sent_a2b_mean,sacks_sent_a2b_max,sacks_sent_a2b_min,sacks_sent_b2a_mean,sacks_sent_b2a_max,sacks_sent_b2a_min,urgent_data_pkts_a2b_mean,urgent_data_pkts_a2b_max,urgent_data_pkts_a2b_min,urgent_data_pkts_b2a_mean,urgent_data_pkts_b2a_max,urgent_data_pkts_b2a_min,urgent_data_bytes_a2b_mean,urgent_data_bytes_a2b_max,urgent_data_bytes_a2b_min,urgent_data_bytes_b2a_mean,urgent_data_bytes_b2a_max,urgent_data_bytes_b2a_min,mss_requested_a2b_mean,mss_requested_a2b_max,mss_requested_a2b_min,mss_requested_b2a_mean,mss_requested_b2a_max,mss_requested_b2a_min,avg_win_adv_a2b_mean,avg_win_adv_a2b_max,avg_win_adv_a2b_min,avg_win_adv_b2a_mean,avg_win_adv_b2a_max,avg_win_adv_b2a_min,initial_window_bytes_a2b_mean,initial_window_bytes_a2b_max,initial_window_bytes_a2b_min,initial_window_bytes_b2a_mean,initial_window_bytes_b2a_max,initial_window_bytes_b2a_min,initial_window_pkts_a2b_mean,initial_window_pkts_a2b_max,initial_window_pkts_a2b_min,initial_window_pkts_a2b_mean,initial_window_pkts_a2b_max,initial_window_pkts_a2b_min,data_xmit_time_a2b_mean,data_xmit_time_a2b_max,data_xmit_time_a2b_min,data_xmit_time_b2a_mean,data_xmit_time_b2a_max,data_xmit_time_b2a_min,idletime_max_a2b_mean,idletime_max_a2b_max,idletime_max_a2b_min,idletime_max_b2a_mean,idletime_max_b2a_max,idletime_max_b2a_min,throughput_a2b_mean,throughput_a2b_max,throughput_a2b_min,throughput_b2a_mean,throughput_b2a_max,throughput_b2a_min,delta_mean,delta_max,delta_min,adv_wind_scale_a2b_mean,adv_wind_scale_b2a_mean,max_segm_size_a2b_max,max_segm_size_b2a_max,max_win_adv_a2b_max,max_win_adv_b2a_max,min_segm_size_a2b_min,min_segm_size_b2a_min,min_win_adv_a2b_min,min_win_adv_b2a_min
9.33333333333,11,7,8.0,9,6,8.33333333333,10,6,8.0,9,6,5.33333333333,7,3,2.33333333333,3,2,2.0,3,0,0.0,0,0,0.666666666667,1,0,0.0,0,0,0.666666666667,1,0,0.0,0,0,1003.66666667,1206,873,2879.0,4343,586,3.0,3,3,4.66666666667,6,2,1003.66666667,1206,873,3062.33333333,4618,586,0.0,0,0,0.666666666667,1,0,0.0,0,0,183.333333333,275,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.666666666667,1,0,3.0,3,3,3.33333333333,4,2,2.0,3,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1460.0,1460,1460,1380.0,1380,1380,89409.0,90368,87797,43893.3333333,44032,43808,284.333333333,517,168,2069.33333333,3023,162,1.0,1,1,1.0,1,1,0.07,0.076,0.058,0.118333333333,0.121,0.116,100.566666667,111.9,94.9,114.366666667,140.0,66.7,5611.0,6828,4842,15981.6666667,24086,3318,0.176625013351,0.176625013351,0.176625013351,6.0,7.0,638,1374,95872,44800,51,162,87616,43520
6.6,11,1,5.6,10,1,6.0,10,1,5.6,10,1,3.8,7,0,1.4,2,1,1.8,4,0,0.0,0,0,0.6,2,0,0.0,0,0,0.8,2,0,0.0,0,0,560.6,934,31,2351.0,4337,0,2.2,3,1,3.6,7,0,560.6,934,31,2955.6,5986,0,0.0,0,0,0.6,2,0,0.0,0,0,604.6,1649,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.8,2,0,2.2,3,1,2.0,4,0,1.8,4,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,876.0,1460,0,828.0,1380,0,54392.4,91468,49,26887.0,43840,1527,113.2,168,31,1539.0,3023,0,1.0,1,1,1.0,1,1,0.1056,0.364,0.0,0.1184,0.337,0.0,1131.92,1624.7,35.2,1124.18,1661.8,0.0,2487.6,5532,275,9306.4,21973,0,0.0351979732513,0.0351979732513,0.0351979732513,3.6,4.2,640,1374,98624,44800,31,0,49,1527
10.3333333333,11,10,8.33333333333,9,8,9.33333333333,10,9,8.33333333333,9,8,6.33333333333,7,6,2.0,2,2,2.33333333333,3,2,0.0,0,0,0.333333333333,1,0,0.0,0,0,1.0,1,1,0.0,0,0,913.666666667,934,873,3930.33333333,4373,3708,3.0,3,3,5.33333333333,6,5,913.666666667,934,873,4388.33333333,5084,3708,0.0,0,0,0.333333333333,1,0,0.0,0,0,458.0,1374,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1.0,1,1,3.0,3,3,3.0,3,3,2.33333333333,3,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1460.0,1460,1460,1380.0,1380,1380,90368.0,90368,90368,43858.0,43885,43840,168.0,168,168,3023.0,3023,3023,1.0,1,1,1.0,1,1,0.135333333333,0.154,0.106,0.212,0.285,0.148,139.666666667,181.1,110.6,145.066666667,167.6,124.0,3498.0,4640,2503,14758.0,18431,12538,0.201294183731,0.201294183731,0.201294183731,6.0,7.0,640,1374,95872,44800,126,262,87616,43520
11.5,17,9,8.75,11,8,10.5,16,8,8.75,11,8,6.0,7,5,2.25,3,2,1.75,2,1,0.0,0,0,0.25,1,0,0.0,0,0,1.0,1,1,0.0,0,0,2173.75,5950,873,3939.0,4323,3708,4.25,8,3,5.25,6,5,2173.75,5950,873,4166.25,4926,3708,0.0,0,0,0.25,1,0,0.0,0,0,227.25,909,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.75,1,0,3.5,5,3,3.25,4,3,1.75,2,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1460.0,1460,1460,1380.0,1380,1380,91400.0,94840,90024,44715.75,47244,43849,168.75,171,168,2610.75,3023,1374,1.0,1,1,1.0,1,1,0.15275,0.235,0.119,0.2015,0.276,0.158,122.55,197.7,71.1,135.45,160.3,101.3,8058.0,22095,2433,14370.75,15389,12050,0.897573232651,0.897573232651,0.897573232651,6.0,7.0,1368,1374,98624,55552,31,51,87616,43520
12.5,16,10,9.75,11,8,11.5,15,9,9.75,11,8,7.25,8,6,2.25,3,2,3.0,4,2,0.0,0,0,1.25,2,0,0.0,0,0,1.25,2,1,0.0,0,0,1598.75,3662,873,3959.0,4398,3708,4.0,7,3,6.25,7,5,1598.75,3662,873,5010.75,6047,3713,0.0,0,0,1.25,2,0,0.0,0,0,1051.75,1649,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1.0,1,1,3.5,5,3,3.75,4,3,3.0,4,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1460.0,1460,1460,1380.0,1380,1380,90872.5,92386,90368,44543.0,46707,43776,168.75,171,168,2610.75,3023,1374,1.0,1,1,1.0,1,1,0.16075,0.235,0.06,0.1505,0.224,0.12,106.75,108.1,104.9,95.475,112.3,51.9,6202.25,14757,3017,14864.25,16187,13249,0.250541210175,0.250541210175,0.250541210175,6.0,7.0,1368,1374,95872,52864,31,51,87616,43520
9.66666666667,10,9,8.0,8,8,8.66666666667,9,8,8.0,8,8,5.66666666667,6,5,2.0,2,2,2.0,2,2,0.0,0,0,0.0,0,0,0.0,0,0,1.0,1,1,0.0,0,0,913.666666667,934,873,3889.33333333,4252,3708,3.0,3,3,5.0,5,5,913.666666667,934,873,3889.33333333,4252,3708,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1.0,1,1,3.0,3,3,3.0,3,3,2.0,2,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1460.0,1460,1460,1380.0,1380,1380,90253.3333333,90368,90024,43873.0,43885,43849,168.0,168,168,3023.0,3023,3023,1.0,1,1,1.0,1,1,0.0866666666667,0.115,0.048,0.176333333333,0.26,0.1,144.666666667,213.9,100.1,135.133333333,155.3,115.4,4319.66666667,6211,2871,18312.6666667,24658,11398,0.150379180908,0.150379180908,0.150379180908,6.0,7.0,640,1374,95872,44800,126,262,87616,43520
10.75,16,7,8.0,10,6,9.75,15,6,8.0,10,6,5.25,6,3,2.5,3,2,1.0,2,0,0.0,0,0,0.0,0,0,0.0,0,0,0.5,1,0,0.0,0,0,1972.5,4871,873,3163.25,4340,587,4.25,8,3,4.25,5,2,1972.5,4871,873,3163.25,4340,587,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.5,1,0,3.5,5,3,2.75,3,2,1.0,2,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1460.0,1460,1460,1380.0,1380,1380,90826.0,94771,87797,44856.0,47658,43849,256.0,517,168,2466.25,3657,162,1.0,1,1,1.0,1,1,0.084,0.102,0.056,0.119,0.162,0.091,81.825,111.9,45.7,76.125,111.6,49.7,15012.75,42322,3898,19871.25,34902,4130,0.142132043839,0.142132043839,0.142132043839,6.0,7.0,1368,1374,98624,55552,31,51,87616,43520
10.0,10,10,8.0,8,8,9.0,9,9,8.0,8,8,6.0,6,6,2.0,2,2,2.0,2,2,0.0,0,0,0.0,0,0,0.0,0,0,1.0,1,1,0.0,0,0,913.666666667,934,873,3892.33333333,4258,3708,3.0,3,3,5.0,5,5,913.666666667,934,873,3892.33333333,4258,3708,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1.0,1,1,3.0,3,3,3.0,3,3,2.0,2,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1460.0,1460,1460,1380.0,1380,1380,90368.0,90368,90368,43873.0,43885,43849,168.0,168,168,3023.0,3023,3023,1.0,1,1,1.0,1,1,0.0903333333333,0.106,0.073,0.155,0.193,0.119,108.433333333,131.8,86.6,88.7,93.4,79.7,4432.0,5442,3458,18646.0,21606,16864,0.171617984772,0.171617984772,0.171617984772,6.0,7.0,640,1374,95872,44800,126,262,87616,43520
10.0,11,9,8.33333333333,9,8,9.0,10,8,8.33333333333,9,8,6.0,7,5,2.0,2,2,2.33333333333,3,2,0.0,0,0,0.333333333333,1,0,0.0,0,0,1.0,1,1,0.0,0,0,912.333333333,932,873,3915.0,4329,3708,3.0,3,3,5.33333333333,6,5,912.333333333,932,873,4006.66666667,4604,3708,0.0,0,0,0.333333333333,1,0,0.0,0,0,91.6666666667,275,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1.0,1,1,3.0,3,3,3.33333333333,4,3,2.33333333333,3,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1460.0,1460,1460,1380.0,1380,1380,90253.3333333,90368,90024,43859.3333333,43885,43808,168.0,168,168,3023.0,3023,3023,1.0,1,1,1.0,1,1,0.073,0.091,0.037,0.12,0.143,0.083,92.6333333333,103.3,83.5,62.2666666667,72.9,47.5,5422.33333333,6920,4279,22972.0,27533,20164,0.134676933289,0.134676933289,0.134676933289,6.0,7.0,638,1374,95872,44800,126,262,87616,43520
10.0,18,1,7.4,11,0,9.2,17,1,7.4,11,0,5.2,8,0,1.8,3,0,1.8,4,0,0.0,0,0,0.6,2,0,0.0,0,0,0.8,1,0,0.0,0,0,1772.4,6094,31,3148.8,4309,0,3.8,9,1,4.6,7,0,1772.4,6094,31,3660.4,5958,0,0.0,0,0,0.6,2,0,0.0,0,0,511.6,1649,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.6,1,0,3.0,5,1,2.8,4,0,1.8,4,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1168.0,1460,0,1104.0,1380,0,73142.2,94900,51,35827.2,47590,0,141.2,171,31,2545.2,3657,0,1.0,1,1,1.0,1,1,0.0774,0.171,0.0,0.1068,0.157,0.0,1164.44,1912.4,0.0,1487.05,1951.0,119.1,12092.5,32950.0,4323.0,21806.0,25824.0,18342.0,0.0,0.0,0.0,4.8,5.6,1368,1374,98624,55808,31,0,51,0
10.6666666667,12,9,9.0,10,8,9.66666666667,11,8,9.0,10,8,6.66666666667,8,5,2.0,2,2,3.0,4,2,0.0,0,0,1.0,2,0,0.0,0,0,1.0,1,1,0.0,0,0,917.666666667,940,873,3962.0,4470,3708,3.0,3,3,6.0,7,5,917.666666667,940,873,4603.33333333,5357,3708,0.0,0,0,1.0,2,0,0.0,0,0,641.333333333,1649,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1.0,1,1,3.0,3,3,3.66666666667,4,3,3.0,4,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1460.0,1460,1460,1380.0,1380,1380,90253.3333333,90368,90024,43832.3333333,43885,43804,168.0,168,168,3023.0,3023,3023,1.0,1,1,1.0,1,1,0.0743333333333,0.104,0.038,0.118333333333,0.144,0.084,88.4666666667,90.4,86.0,63.3666666667,77.5,46.1,5500.66666667,6950,4351,23403.0,27415,20517,0.135255098343,0.135255098343,0.135255098343,6.0,7.0,646,1374,95872,44800,126,262,87616,43520
6.6,10,1,5.6,8,1,6.0,9,1,5.6,8,1,3.6,6,0,1.8,2,1,1.2,2,0,0.0,0,0,0.0,0,0,0.0,0,0,0.6,1,0,0.0,0,0,708.4,940,0,2363.2,4361,0,2.2,3,0,3.2,5,0,708.4,940,0,2363.2,4361,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.6,1,0,2.2,3,0,2.0,3,0,1.2,2,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,876.0,1460,0,828.0,1380,0,54248.0,90368,118,26974.6,43885,1541,258.6,789,0,1813.8,3023,0,1.0,2,0,1.0,2,0,0.039,0.08,0.0,0.069,0.151,0.0,1437.66,2419.4,840.6,1456.36,2433.0,878.9,4553.8,7015,0,13991.6,27686,0,0.134002923965,0.134002923965,0.134002923965,3.6,4.2,646,1374,95872,44800,0,0,118,1541
